    n8  = x5'
    n9  = x2'
   n10  = x6'
   n11  = (n10'n9')
   n12  = (n11'x0')
   n13  = x0'
   n14  = n11'
   n15  = (n14'n13')
   n16  = (n15'x4')
   n17  = n16'
   n18  = (n17'n12')
   n19  = (x4'x2')
   n20  = (x6'x2')
   n21  = (n20'n12')
   n22  = (n21'n19')
   n23  = (n22'n18')
   n24  = (n23'x3')
   n25  = (x2'x0')
   n26  = n25'
   n27  = (n10'x4')
   n28  = n27'
   n29  = (n28'n26')
   n30  = (n29'n24')
   n31  = (n30'x1')
   n32  = x1'
   n33  = x4'
   n34  = (n33'n9')
   n35  = (n34'n19')
   n36  = (n9'n13')
   n37  = (n36'n25')
   n38  = (n37'n35')
   n39  = n38'
   n40  = (n10'x3')
   n41  = x3'
   n42  = (x6'n41')
   n43  = (n42'n40')
   n44  = (n43'n39')
   n45  = n37'
   n46  = (n10'n33')
   n47  = n46'
   n48  = (n47'n41')
   n49  = (x6'x4')
   n50  = n49'
   n51  = (n50'x3')
   n52  = (n51'n48')
   n53  = (n52'n45')
   n54  = n36'
   n55  = (n54'n41')
   n56  = n55'
   n57  = (n56'n28')
   n58  = (x6'x3')
   n59  = n58'
   n60  = (n59'n26')
   n61  = (n60'n57')
   n62  = n61'
   n63  = (n62'n53')
   n64  = n63'
   n65  = (n64'n44')
   n66  = (n65'n32')
   n67  = (n47'n54')
   n68  = (x6'x1')
   n69  = n68'
   n70  = (n69'n26')
   n71  = (n70'n67')
   n72  = (n71'n41')
   n73  = (n72'n66')
   n74  = n73'
   n75  = (n74'n31')
   n76  = (n75'n8')
   n77  = (n34'x0')
   n78  = (n77'n41')
   n79  = (n38'n10')
   n80  = n79'
   n81  = (n80'n78')
   n82  = (n28'x2')
   n83  = (x6'n33')
   n84  = n83'
   n85  = (n84'x0')
   n86  = (n85'n82')
   n87  = (n86'n41')
   n88  = n34'
   n89  = (n88'n41')
   n90  = (n19'x6')
   n91  = n90'
   n92  = (n91'n77')
   n93  = n92'
   n94  = (n93'n89')
   n95  = (n94'n87')
   n96  = n95'
   n97  = (n96'n81')
   n98  = (n97'x1')
   n99  = (n52'n9')
  n100  = n19'
  n101  = (n10'n41')
  n102  = (n101'n100')
  n103  = (n102'n99')
  n104  = (n103'n13')
  n105  = (x3'x2')
  n106  = (n105'x6')
  n107  = n106'
  n108  = (n107'n89')
  n109  = (n19'n41')
  n110  = (n34'n10')
  n111  = n110'
  n112  = (n111'n109')
  n113  = (n112'n108')
  n114  = (n113'x0')
  n115  = n105'
  n116  = (n115'n84')
  n117  = (n116'n114')
  n118  = n117'
  n119  = (n118'n104')
  n120  = (n119'n32')
  n121  = (n120'n98')
  n122  = (n121'x5')
  n123  = (n41'x1')
  n124  = n123'
  n125  = (n124'n50')
  n126  = n125'
  n127  = (n126'n45')
  n128  = (n127'n122')
  n129  = n128'
  n130  = (n129'n76')
  n131  = n130'
.
