    n8  = x1'
    n9  = x4'
   n10  = x3'
   n11  = x6'
   n12  = (n11'n10')
   n13  = n12'
   n14  = (n13'x0')
   n15  = (x6'x3')
   n16  = n15'
   n17  = (x5'x2')
   n18  = x2'
   n19  = x5'
   n20  = (n19'n18')
   n21  = (n20'x0')
   n22  = (n21'n17')
   n23  = n22'
   n24  = (n23'n16')
   n25  = (n24'n14')
   n26  = (n25'n9')
   n27  = x0'
   n28  = (x4'n27')
   n29  = n28'
   n30  = (n29'n13')
   n31  = (n30'n26')
   n32  = (n31'n8')
   n33  = (x4'x1')
   n34  = (n9'n8')
   n35  = (n34'n33')
   n36  = n35'
   n37  = (n36'n23')
   n38  = (n20'x4')
   n39  = (n35'n27')
   n40  = n39'
   n41  = (n40'n38')
   n42  = n34'
   n43  = (n42'x0')
   n44  = n43'
   n45  = (n44'n17')
   n46  = (n45'n41')
   n47  = n46'
   n48  = (n47'n37')
   n49  = (n15'n12')
   n50  = n49'
   n51  = (n50'n48')
   n52  = n14'
   n53  = (n17'n52')
   n54  = n20'
   n55  = (n16'n27')
   n56  = n55'
   n57  = (n56'n54')
   n58  = (n57'n53')
   n59  = (n58'n36')
   n60  = (n9'n27')
   n61  = n33'
   n62  = (n61'n23')
   n63  = (n62'n60')
   n64  = (n63'n13')
   n65  = (n64'n59')
   n66  = n65'
   n67  = (n66'n51')
   n68  = n67'
   n69  = (n68'n32')
   n70  = n69'
.
